sourceKey,runType,stream,sourceTable,batchCount,recordCount,insertedCount,updatedCount,overlapReplayCount,trueDuplicateCount,averageDurationMs,maxDurationMs,retryCount
e10-main,COMPENSATION,delivery_plan,SALES_ORDER_DOC_SD,2,25,0,25,0,0,95.072,110.841,0
e10-main,COMPENSATION,inventory,ITEM_WAREHOUSE,2,119,4,115,22,0,141.288,145.652,0
e10-main,COMPENSATION,order_detail,SALES_ORDER_DOC_D,2,25,0,25,0,0,135.609,149.244,0
e10-main,COMPENSATION,order_header,SALES_ORDER_DOC,2,16,0,16,0,0,37.091,43.004,0
e10-main,COMPENSATION,outbound_detail,SALES_ISSUE_D,2,1,0,1,0,0,287.938,311.236,0
e10-main,INCREMENTAL,delivery_plan,SALES_ORDER_DOC_SD,6,8,0,8,3,0,87.774,94.028,0
e10-main,INCREMENTAL,inventory,ITEM_WAREHOUSE,6,494,200,294,84,0,159.570,183.211,0
e10-main,INCREMENTAL,order_detail,SALES_ORDER_DOC_D,6,8,0,8,3,0,129.444,137.011,0
e10-main,INCREMENTAL,order_header,SALES_ORDER_DOC,6,4,0,4,1,0,33.704,38.384,0
e10-main,INCREMENTAL,outbound_detail,SALES_ISSUE_D,6,24,21,3,0,0,306.927,334.847,0
e10-main,INITIALIZATION,delivery_plan,SALES_ORDER_DOC_SD,94,92279,92279,0,0,0,1467.846,3637.839,0
e10-main,INITIALIZATION,inventory,ITEM_WAREHOUSE,460,459144,459144,0,0,0,133.759,381.251,0
e10-main,INITIALIZATION,order_detail,SALES_ORDER_DOC_D,94,92281,92281,0,0,0,722.116,2445.570,0
e10-main,INITIALIZATION,order_header,SALES_ORDER_DOC,14,12671,12671,0,0,0,248.922,306.109,0
e10-main,INITIALIZATION,outbound_detail,SALES_ISSUE_D,11,11000,11000,0,0,0,28866.377,55919.120,0
e10-main,INITIALIZATION,outbound_initial,SALES_ISSUE_D,266,265821,254821,11000,0,0,229.692,1093.549,0
